id,target,hypothesis_score,hypothesis,detokenized_score,detokenized,log_probs
1007,"depending on the focus, if it's a high intense workout for a short duration, or if it's a longer duration that occurs over a longer period of time, ease into it, progress gently into that max level or that max cycle, and then ease out of it, into a cool down, that last component would be that cool down, where you're improving, not only your cardio vascular conditioning after the affect, by allowing your body to return to a normal operating, i guess tempo if you will, by allowing your heart rate to come back to normal, but also to improving your flexibility.",-2.0452849864959717,"▁if ▁it ' s ▁a ▁high ▁stance , ▁it ' s ▁a ▁hard ▁level ▁of ▁longer , ▁this ▁is ▁also ▁going ▁to ▁allow ▁the ▁base ▁of ▁the ▁base ▁of ▁this ▁base ▁of ▁the ▁heart ▁to ▁fall ▁out ▁of ▁your ▁heart , ▁and ▁it ▁allow s ▁you ▁to ▁run ▁out ▁of ▁the ▁heart ▁to ▁run ▁down ▁to ▁the ▁heart ▁of ▁your ▁heart , ▁and ▁that ' s ▁going ▁to ▁allow ▁your ▁heart ▁to ▁run ▁down ▁to ▁run ▁off ▁the ▁heart ▁to ▁run ▁down , ▁and ▁allow ▁your ▁heart ▁to ▁allow ▁your ▁heart ▁to ▁allow ▁your ▁heart ▁to ▁run ▁through ▁the ▁heart ▁to ▁run ▁down ▁to ▁run ▁down ▁to ▁run ▁down ▁to ▁the ▁heart , ▁and ▁allow ▁your ▁heart ▁to ▁run ▁down , ▁and ▁allow ▁your ▁heart ▁to ▁the ▁heart , ▁and ▁allow ▁your ▁heart , ▁and ▁allow ▁your ▁heart , ▁and ▁allow ▁your ▁heart , ▁and ▁allow ▁your ▁heart , ▁and ▁allow ▁your ▁heart , ▁and ▁allow ▁your ▁heart , ▁and ▁allow ▁your ▁heart , ▁and ▁allow ▁your ▁heart ▁to ▁allow ▁your ▁heart ▁to ▁allow ▁your ▁heart , ▁and ▁that ' s ▁that ' s ▁that ' s ▁that ' s ▁that ' s ▁that ' s ▁that ' s ▁down",-2.0452849864959717,"if it's a high stance, it's a hard level of longer, this is also going to allow the base of the base of this base of the heart to fall out of your heart, and it allows you to run out of the heart to run down to the heart of your heart, and that's going to allow your heart to run down to run off the heart to run down, and allow your heart to allow your heart to allow your heart to run through the heart to run down to run down to run down to the heart, and allow your heart to run down, and allow your heart to the heart, and allow your heart, and allow your heart, and allow your heart, and allow your heart, and allow your heart, and allow your heart, and allow your heart, and allow your heart to allow your heart to allow your heart, and that's that's that's that's that's that's that's down",-0.1075 -1.6243 -1.3291 -0.1094 -4.0136 -0.3327 -3.0159 -1.1928 -2.3592 -0.9392 -0.1610 -2.2494 -0.8340 -2.6244 -0.2939 -2.9144 -1.9776 -2.3703 -0.7411 -0.6254 -0.8436 -0.1210 -2.0590 -1.7597 -2.4467 -0.0591 -1.0158 -3.0018 -0.0916 -1.8111 -2.8575 -0.2029 -0.9404 -3.4345 -0.5446 -4.4658 -0.9554 -0.3860 -3.4731 -0.6986 -1.9240 -2.4123 -3.0228 -1.3664 -0.0676 -1.3110 -0.2198 -2.9858 -2.8586 -0.3405 -1.2596 -1.5911 -0.7445 -3.7606 -2.7033 -1.7981 -1.2516 -2.2000 -2.9424 -2.2918 -0.3324 -1.7528 -2.3276 -2.5754 -2.4973 -0.3315 -1.3148 -0.1207 -1.5458 -2.1771 -0.3981 -0.1745 -3.1431 -2.5346 -1.3199 -3.0213 -3.7102 -1.9232 -2.3108 -0.8425 -3.5408 -2.6107 -3.2092 -2.7074 -2.7354 -2.1964 -0.4149 -0.5748 -4.4531 -2.1803 -0.6064 -0.4166 -4.9682 -2.3647 -0.5722 -0.3872 -3.5653 -3.9024 -1.9667 -3.0033 -0.5878 -3.3841 -2.7964 -1.7691 -3.2922 -2.9733 -2.0083 -3.1150 -3.1656 -2.0703 -3.9199 -2.9049 -2.4605 -2.5688 -3.4837 -2.0534 -0.6812 -1.1804 -3.3871 -3.0755 -2.9145 -2.5370 -3.1448 -2.1371 -0.5639 -1.1260 -3.6505 -2.8085 -2.5194 -2.5195 -2.9350 -2.4124 -0.6501 -2.5073 -2.3306 -3.2014 -2.5271 -0.6458 -2.4565 -2.2881 -2.9042 -2.5342 -0.5106 -2.6730 -2.4325 -2.6137 -2.3817 -0.4419 -2.5273 -2.2678 -2.5906 -2.4421 -0.3718 -2.5549 -2.2846 -2.2594 -2.2466 -0.4255 -2.7155 -2.2739 -2.1008 -2.3411 -0.3365 -2.6770 -2.3521 -2.3025 -2.2722 -0.2961 -1.1359 -3.8721 -2.2407 -0.3153 -1.1703 -4.2201 -2.3046 -0.3085 -2.5277 -2.2897 -2.6947 -2.4155 -0.5386 -3.2359 -2.3374 -0.5656 -3.1650 -2.3875 -0.5489 -2.9665 -2.4933 -0.4315 -3.1089 -2.5878 -0.4516 -3.4231 -2.4781 -0.4512 -3.4080 -2.7006 -0.4677 -4.0367 -12.1752
284,"so now we have established the hole there and we want to plunge down keeping our thumbs next to each other like that and keeping our pinkys on the bottom end of the mass of clay and they'll let me know, my pinkys will let my thumbs know how far down to go and i'm thinking that's about good but i'm going to go and double check with my needle tool and i was right, i have the perfect amount of clay left down on the bottom so you just mark it you put it down there and you mark it with your finger how far down and that is the thickness of the bottom.",-1.4446609020233154,"▁now ▁that ▁we ' ve ▁set ▁the ▁hole , ▁you ▁want ▁to ▁want ▁to ▁make ▁sure ▁that ▁the ▁pot ▁is ▁on ▁the ▁bottom ▁of ▁the ▁pot , ▁keep ▁the ▁pot ▁on ▁the ▁bottom ▁of ▁the ▁pot , ▁keep ▁the ▁pot ▁on ▁the ▁bottom ▁of ▁the ▁pot , ▁and ▁that ' s ▁going ▁to ▁be ▁able ▁to ▁follow ▁the ▁pot ▁with ▁the ▁pot , ▁as ▁far ▁as ▁i ' m ▁going ▁to ▁avoid ▁ having ▁a ▁bad ▁amount ▁of ▁the ▁pot .",-1.4446609020233154,"now that we've set the hole, you want to want to make sure that the pot is on the bottom of the pot, keep the pot on the bottom of the pot, keep the pot on the bottom of the pot, and that's going to be able to follow the pot with the pot, as far as i'm going to avoid having a bad amount of the pot.",-0.4107 -0.8630 -1.0612 -1.8549 -0.1124 -1.2880 -0.9300 -0.7471 -1.8662 -1.8554 -0.7671 -0.1713 -3.0110 -0.6591 -2.7222 -1.0682 -0.5582 -1.1787 -0.8458 -1.0942 -2.8848 -0.3363 -0.6842 -0.6368 -0.4917 -0.4968 -2.1332 -0.4705 -1.2734 -0.5926 -2.1463 -0.3495 -0.6714 -0.7406 -0.4784 -1.2662 -1.7550 -1.6233 -1.3535 -0.4728 -3.0767 -0.5163 -0.8208 -0.3612 -0.4639 -2.1832 -1.7167 -2.5130 -2.1238 -2.7354 -0.2134 -3.4187 -0.0747 -2.7076 -2.5910 -0.0928 -3.1474 -1.4548 -2.2410 -1.8705 -1.1602 -3.0510 -2.5877 -3.3408 -1.8749 -0.1026 -0.9046 -4.0228 -0.8577 -1.3943 -0.1499 -2.9319 -1.9501 -0.9902 -1.6752 -3.6530 -2.5153 -0.1216 -1.5732 -2.2773 -3.0306 -0.0519
1006,"depending on the focus, if it's a high intense workout for a short duration, or if it's a longer duration that occurs over a longer period of time, ease into it, progress gently into that max level or that max cycle, and then ease out of it, into a cool down, that last component would be that cool down, where you're improving, not only your cardio vascular conditioning after the affect, by allowing your body to return to a normal operating, i guess tempo if you will, by allowing your heart rate to come back to normal, but also to improving your flexibility.",-1.620173692703247,"▁also , ▁if ▁he ' s ▁really ▁strong , ▁he ▁can ▁only ▁work , ▁but ▁it ' s ▁a ▁long ▁time , ▁it ' s ▁going ▁to ▁start ▁very ▁long , ▁but ▁he ' s ▁going ▁to ▁start ▁the ▁shot , ▁because ▁he ' s ▁going ▁to ▁help ▁his ▁body , ▁because ▁he ' s ▁going ▁to ▁enjoy ▁that ▁strong , ▁because ▁he ' s ▁going ▁to ▁enjoy ▁the ▁body , ▁because ▁he ' s ▁going ▁to ▁help ▁me , ▁because ▁he ' s ▁going ▁to ▁enjoy ▁the ▁body .",-1.620173692703247,"also, if he's really strong, he can only work, but it's a long time, it's going to start very long, but he's going to start the shot, because he's going to help his body, because he's going to enjoy that strong, because he's going to enjoy the body, because he's going to help me, because he's going to enjoy the body.",-2.4092 -2.0466 -0.0952 -1.5975 -1.7126 -0.0639 -2.9332 -3.0451 -0.5331 -2.9176 -0.7021 -1.7998 -2.4085 -2.5025 -2.3618 -1.7755 -1.5241 -0.1961 -1.5246 -0.0733 -0.4790 -1.7910 -1.6465 -0.8983 -0.2227 -1.1911 -0.0896 -2.1971 -3.9903 -2.2472 -1.7347 -2.4412 -1.2445 -1.2514 -0.2182 -0.9916 -0.1010 -1.5434 -3.6970 -2.1040 -1.9928 -1.4187 -0.8505 -1.2755 -0.2143 -0.9893 -0.0950 -1.9569 -3.0254 -0.2933 -2.3767 -1.6632 -0.8027 -1.7518 -0.2024 -1.6313 -0.0999 -2.4362 -2.1823 -3.5811 -1.8622 -1.7663 -0.9814 -1.9324 -0.2456 -1.6634 -0.1122 -2.2770 -2.9962 -3.2485 -1.2950 -2.1267 -1.4683 -1.9111 -0.2406 -1.8371 -0.1291 -2.9258 -2.5471 -3.2309 -2.7878 -2.0436 -2.0884 -0.2873 -1.9460 -0.1381 -2.3741 -3.1746 -3.5412 -3.0612 -0.0552
653,thereâs also a few pieces of whatever trash in here that is still leftover from the campfire and so even your best efforts to leave a campfire pit completely the same way it was when you found it are very difficult to pull off and so generally either a mound fire or a fire pan is the best way to have a really low impact campfire.,-1.252290964126587,"▁also ▁a ▁couple ▁of ▁pieces ▁of ▁whatever ▁it ' s ▁here , ▁that ▁let s ▁give ▁it ▁a ▁tent ▁from ▁fire , ▁and ▁a ▁lot ▁of ▁different ▁ways ▁to ▁find ▁out ▁the ▁same ▁way ▁when ▁you ' re ▁trying ▁to ▁find ▁a ▁very ▁difficult ▁way ▁to ▁find ▁a ▁tent , ▁whe ther ▁it ' s ▁a ▁very ▁difficult ▁way ▁to ▁find ▁it .",-1.252290964126587,"also a couple of pieces of whatever it's here, that lets give it a tent from fire, and a lot of different ways to find out the same way when you're trying to find a very difficult way to find a tent, whether it's a very difficult way to find it.",-0.7730 -0.2688 -0.6594 -0.6839 -0.3124 -0.4901 -0.3996 -3.0801 -1.0970 -0.0767 -1.1575 -1.5605 -0.5014 -1.4749 -1.6328 -1.1278 -2.3320 -0.6461 -2.2551 -1.5059 -1.0158 -2.1212 -1.8551 -1.3652 -2.3561 -0.2151 -2.6126 -2.3421 -1.0923 -0.4149 -2.6753 -0.9268 -1.4422 -1.8883 -0.7383 -0.3078 -1.7465 -0.6933 -3.7523 -0.1179 -0.0650 -1.7667 -1.9340 -1.6542 -0.5021 -0.3537 -0.1010 -1.7026 -2.3423 -3.3531 -2.5607 -0.0140 -1.4246 -0.8377 -0.0922 -1.4106 -1.1686 -1.5276 -0.4002 -0.2840 -0.2465 -2.4531 -2.1875 -0.0504
347,"you would align both the same way, and what you would do is during the daytime put in a low-power eyepiece, and look at the red dot finder and sight it on an object a couple of miles down the road--maybe the top of a phone pole or a truck or something--and then collimate the finder scope here so that you're looking at the same thing the eyepiece is.",-1.5782443284988403,▁so ▁we ' re ▁going ▁to ▁drill ▁it ▁with ▁a ▁camera ▁and ▁it ' s ▁going ▁to ▁be ▁a ▁little ▁bit ▁of ▁a ▁day ▁that ▁you ▁can ▁use ▁a ▁little ▁bit ▁of ▁an ▁infection ▁or ▁something ▁that ▁you ▁don ' t ▁want ▁to ▁do ▁with ▁it ▁or ▁something ▁that ▁you ▁want ▁to ▁use .,-1.5782443284988403,so we're going to drill it with a camera and it's going to be a little bit of a day that you can use a little bit of an infection or something that you don't want to do with it or something that you want to use.,-1.7456 -0.3773 -0.6059 -0.1138 -0.2297 -0.0936 -3.6575 -2.1771 -1.1393 -0.9786 -3.2867 -1.4860 -2.3935 -0.9927 -0.1106 -3.4967 -0.0983 -1.6212 -0.3229 -3.6479 -0.5691 -0.8763 -0.5752 -0.4464 -2.8072 -0.3241 -0.6205 -1.3094 -1.6889 -4.5851 -1.1884 -0.1503 -3.8814 -4.1434 -2.6673 -1.6629 -2.2210 -0.3317 -2.5530 -0.0642 -0.0364 -0.8370 -0.1710 -2.4570 -2.1284 -2.5567 -3.0053 -2.2385 -2.6936 -1.1744 -3.3681 -0.2380 -1.5288 -3.0662 -0.0627
2249,"and you'll just cut this shape so if you start with a long straight piece and then cut a little angle off the side and then round it in a little, that will give us a snout, and in the snout we're going to place this red feather, so sandwiched between the head piece and the snout piece we're going to have this bit of red feather and i just cut a bit off of a larger feather and this is going to be the fire breathing portion of our dragon.",-1.5490351915359497,"▁so ▁if ▁you ▁start ▁with ▁long ▁piece , ▁it ' s ▁going ▁to ▁go ▁with ▁a ▁straight ▁piece ▁that ' s ▁going ▁to ▁give ▁you ▁a ▁little ▁bit ▁about ▁the ▁lid ▁and ▁then ▁i ▁give ▁you ▁a ▁little ▁bit ▁about ▁the ▁inside ▁of ▁the ▁glass , ▁and ▁then ▁i ' m ▁just ▁going ▁to ▁have ▁a ▁red ▁piece ▁of ▁red ▁piece ▁of ▁red , ▁and ▁then ▁i ' m ▁just ▁going ▁to ▁stick ▁with ▁a ▁little ▁bit ▁of ▁red , ▁and ▁it ' s ▁not ▁there ' s ▁not ▁a ▁little ▁bit ▁of ▁red .",-1.5490351915359497,"so if you start with long piece, it's going to go with a straight piece that's going to give you a little bit about the lid and then i give you a little bit about the inside of the glass, and then i'm just going to have a red piece of red piece of red, and then i'm just going to stick with a little bit of red, and it's not there's not a little bit of red.",-1.1088 -0.6797 -0.5109 -0.0548 -0.0147 -0.5135 -2.7031 -1.6420 -2.8386 -0.3927 -0.0908 -0.4674 -0.0872 -2.6038 -1.3101 -1.0959 -0.7165 -0.0554 -3.1527 -0.7614 -0.0755 -0.1003 -0.0978 -2.1721 -1.5281 -1.7832 -0.3485 -0.0949 -1.2887 -1.7016 -3.9593 -1.9467 -0.1284 -2.1232 -0.3541 -1.9132 -1.7375 -1.0501 -0.0904 -1.8426 -1.7434 -2.3311 -0.6357 -0.3860 -3.5069 -3.1582 -1.1933 -0.9945 -1.8235 -2.5775 -0.4514 -2.2925 -0.4118 -0.1007 -1.4934 -1.4296 -2.6864 -1.6689 -0.2972 -2.1395 -3.0416 -0.5029 -2.5696 -2.8947 -1.2372 -3.5808 -2.4359 -2.0072 -0.3707 -2.7178 -1.2496 -0.1326 -3.3970 -1.7588 -1.7518 -3.4597 -0.3312 -2.2784 -1.9094 -2.7554 -1.4864 -3.8941 -2.7357 -0.6554 -1.1633 -4.3095 -1.1771 -0.1665 -2.6307 -1.6728 -4.0174 -0.4143 -2.3224 -1.5363 -3.6299 -0.0554
546,"so what i'm going to do is show you a little technique i just call the ""c"". what i'm going to do is have my client close her eyes and i'm going to go right up the crease i'm actually do light upward strokes, i'm doing a little of tapping movement so that i can get a little more vibrancy to that color, then i'm going to go down, almost like i backward ""c"" or a ""v"" or little pac-man whatever you want to do to think of it.",-1.5779732465744019,"▁we ▁call ▁it ▁a ▁lot ▁of ▁different ▁technique , ▁we ' re ▁going ▁to ▁do , ▁let ' s ▁go ▁ahead ▁and ▁go ▁ahead ▁and ▁take ▁a ▁light ▁lip ▁gloss ▁and ▁we ' re ▁going ▁to ▁look ▁at ▁a ▁very ▁light ▁lip ▁gloss , ▁and ▁you ▁know , ▁you ▁can ▁kind ▁of ▁look ▁at ▁a ▁little ▁bit ▁more ▁like ▁a ▁point ▁of ▁a ▁point ▁of ▁color , ▁you ▁know , ▁you ' re ▁going ▁to ▁know , ▁you ' re ▁going ▁to ▁know , ▁you ' re ▁going ▁to ▁know , ▁you ' re ▁going ▁to ▁look ▁at ▁a ▁little ▁bit ▁more ▁like ▁a ▁little ▁bit ▁more ▁of ▁an ▁o .",-1.5779732465744019,"we call it a lot of different technique, we're going to do, let's go ahead and go ahead and take a light lip gloss and we're going to look at a very light lip gloss, and you know, you can kind of look at a little bit more like a point of a point of color, you know, you're going to know, you're going to know, you're going to know, you're going to look at a little bit more like a little bit more of an o.",-1.7631 -0.2463 -0.9803 -0.7714 -3.8683 -0.2305 -1.9671 -1.0967 -2.3446 -1.7767 -2.2267 -0.3726 -0.1996 -0.0930 -1.7271 -1.8344 -2.3775 -0.5689 -0.0819 -0.5917 -0.5840 -0.1943 -2.7647 -0.8958 -0.2141 -2.8225 -0.3408 -1.1607 -3.2190 -1.3165 -2.6948 -1.9753 -1.5566 -0.4493 -1.1955 -0.1138 -2.4689 -0.1303 -1.4916 -1.3623 -0.4188 -3.2299 -2.0039 -1.7785 -2.9055 -1.9439 -0.7844 -0.9754 -2.4355 -1.9254 -2.5454 -0.0738 -1.8422 -0.4186 -2.0430 -2.4819 -0.4910 -0.9212 -3.3723 -0.3900 -3.4945 -0.5486 -2.0397 -4.0615 -0.5801 -4.7593 -2.5590 -2.3838 -1.9599 -1.4491 -2.3957 -2.1028 -0.4764 -1.0979 -0.1789 -2.4584 -1.6814 -2.3178 -1.6873 -0.3559 -1.2055 -0.1791 -2.8403 -1.9517 -2.1810 -1.7423 -0.2796 -1.1340 -0.1709 -2.7723 -2.1539 -2.1476 -1.7087 -0.2627 -1.1307 -0.1636 -3.0165 -0.3444 -1.4255 -3.0772 -0.9806 -0.7492 -3.5469 -0.8945 -3.6757 -0.9444 -1.0056 -2.7218 -3.7037 -3.1888 -1.7343 -0.0619
1222,"you can start to develop your own style as far as a little rhythm, and it's not necessarily to emphasize the need for defense or not to distract from that, but it's really to just build your rhythm up and to build you with the particular double end bag that you're using.",-1.235698938369751,"▁you ▁can ▁start ▁to ▁film ▁off ▁as ▁long ▁as ▁it ▁doesn ' t ▁necessarily ▁need ▁to ▁build ▁it , ▁but ▁you ' re ▁not ▁going ▁to ▁really ▁need ▁to ▁build ▁the ▁double ▁but ▁you ' re ▁not ▁going ▁to ▁really ▁need ▁to ▁build ▁the ▁particular ▁double ▁but ▁you ' re ▁not ▁going ▁to ▁build ▁the ▁double .",-1.235698938369751,"you can start to film off as long as it doesn't necessarily need to build it, but you're not going to really need to build the double but you're not going to really need to build the particular double but you're not going to build the double.",-0.1954 -0.3757 -0.1213 -0.9654 -2.6147 -0.7128 -1.4252 -2.6955 -0.0063 -2.8043 -0.9896 -0.0643 -0.0416 -1.1199 -0.4856 -0.1244 -0.2749 -2.2909 -3.5331 -0.2904 -1.6360 -1.7462 -0.3588 -1.2832 -1.6239 -0.0915 -1.6073 -2.2085 -0.1881 -0.3997 -0.9482 -1.6740 -3.3225 -1.6045 -0.9920 -0.2978 -0.8420 -1.3450 -0.1155 -2.8327 -2.5406 -0.3062 -0.6162 -0.9604 -2.0329 -1.3689 -3.3027 -1.4005 -0.8773 -0.2924 -0.9137 -1.2422 -0.1210 -2.3649 -1.2801 -1.7214 -4.0326 -0.0478
649,they actually make fire pans for that purpose and you keep your fire contained entirely inside the pan and you also lift the pan about 3 or 4 inches off the ground by putting it on top of some rocks and that way the fire doesnât scorch the earth and that itâs a fire that you can completely get rid of in the morning and leave no sign of at all for the next camper.,-1.5415000915527344,"▁it ' s ▁actually ▁used ▁for ▁this ▁reason ▁and ▁you ' re ▁going ▁to ▁keep ▁a ▁fire ▁that ' s ▁about ▁four ▁or ▁off ▁the ▁top ▁of ▁the ▁ground , ▁put ▁the ▁top ▁of ▁the ▁tent ▁and ▁there ' s ▁no ▁surface ▁of ▁the ▁tent , ▁and ▁there ' s ▁no ▁clear ▁in ▁the ▁next ▁garden , ▁and ▁there ' s n ' t ▁been ▁been ▁been ▁been ▁been ▁left ▁over ▁the ▁next ▁step .",-1.5415000915527344,"it's actually used for this reason and you're going to keep a fire that's about four or off the top of the ground, put the top of the tent and there's no surface of the tent, and there's no clear in the next garden, and there'sn't been been been been been left over the next step.",-2.7195 -0.5526 -0.0801 -0.0826 -1.5468 -0.0131 -0.1079 -2.7189 -0.4235 -2.1861 -1.4761 -0.2990 -0.2693 -0.1169 -0.1301 -2.8595 -0.8189 -1.7120 -1.8937 -0.0856 -0.3796 -3.4655 -1.3303 -0.8750 -1.5354 -0.2020 -0.1275 -0.3119 -3.7836 -2.1055 -0.2176 -2.1421 -0.8129 -0.1641 -0.2426 -4.1748 -1.5557 -1.5540 -0.5740 -0.0943 -0.1009 -5.0764 -0.2020 -0.4855 -4.5402 -3.6976 -0.9937 -1.3521 -0.6755 -0.0882 -0.3477 -6.0945 -4.3072 -0.2378 -0.5412 -4.8926 -2.6142 -0.6103 -1.5782 -0.7599 -0.0903 -6.2954 -0.0931 -0.0438 -1.6565 -2.0713 -2.2233 -2.3966 -2.5881 -5.0071 -1.7617 -0.6747 -0.4631 -3.6657 -3.1394 -0.0472
1479,"i'll demonstrate, reaching down and grabbing snowball you can make the best very smooth snowballs which are more accurate and let me just throw it once and that is the most accurate way to throw for sure.",-1.0878262519836426,"▁i ' m ▁going ▁to ▁show ▁you ▁this ▁down , ▁so ▁it ▁could ▁be ▁the ▁best ▁ball , ▁and ▁i ' m ▁just ▁exactly ▁exactly ▁where ▁this ▁is ▁for ▁the ▁first ▁way .",-1.0878262519836426,"i'm going to show you this down, so it could be the best ball, and i'm just exactly exactly where this is for the first way.",-0.7375 -0.6014 -0.4246 -0.2363 -0.1028 -0.5049 -0.0868 -2.7665 -1.9366 -1.2846 -0.9127 -1.9089 -0.7991 -0.7763 -1.3471 -0.0136 -0.3325 -0.6857 -2.2581 -0.6320 -1.8433 -0.5549 -0.2601 -3.3085 -0.8235 -1.8706 -2.3876 -1.2899 -0.2115 -0.4459 -3.3550 -2.0945 -0.1470 -0.0457
